temperature	genotype	region	eggs	hatched	survival
34	RFM_4	temperate	20	14	0.7
34	RFM_4	temperate	20	14	0.7
34	RFM_4	temperate	20	17	0.85
34	RFM_4	temperate	20	17	0.85
34	RFM_4	temperate	20	20	1
36	RFM_4	temperate	20	1	0.05
36	RFM_4	temperate	20	3	0.15
36	RFM_4	temperate	20	1	0.05
36	RFM_4	temperate	20	2	0.1
36	RFM_4	temperate	20	0	0
36	RFM_4	temperate	20	3	0.15
36	RFM_4	temperate	20	1	0.05
36	RFM_4	temperate	20	1	0.05
36	RFM_4	temperate	20	1	0.05
36	RFM_4	temperate	20	0	0
38	RFM_4	temperate	20	0	0
38	RFM_4	temperate	20	1	0.05
38	RFM_4	temperate	20	0	0
38	RFM_4	temperate	20	2	0.1
38	RFM_4	temperate	20	0	0
38	RFM_4	temperate	20	1	0.05
38	RFM_4	temperate	20	1	0.05
38	RFM_4	temperate	20	5	0.25
38	RFM_4	temperate	20	0	0
38	RFM_4	temperate	20	1	0.05
30	RFM_48	temperate	12	11	0.916666667
30	RFM_48	temperate	11	9	0.818181818
30	RFM_48	temperate	20	16	0.8
30	RFM_48	temperate	18	15	0.833333333
32	RFM_48	temperate	20	20	1
32	RFM_48	temperate	13	12	0.923076923
32	RFM_48	temperate	20	18	0.9
32	RFM_48	temperate	14	13	0.928571429
32	RFM_48	temperate	20	17	0.85
32	RFM_48	temperate	20	18	0.9
32	RFM_48	temperate	20	20	1
32	RFM_48	temperate	20	17	0.85
32	RFM_48	temperate	20	20	1
32	RFM_48	temperate	20	19	0.95
34	RFM_48	temperate	20	12	0.6
34	RFM_48	temperate	14	8	0.571428571
34	RFM_48	temperate	20	16	0.8
34	RFM_48	temperate	12	11	0.916666667
34	RFM_48	temperate	14	12	0.857142857
34	RFM_48	temperate	14	13	0.928571429
36	RFM_48	temperate	15	2	0.133333333
36	RFM_48	temperate	20	0	0
36	RFM_48	temperate	12	2	0.166666667
38	RFM_48	temperate	20	4	0.2
38	RFM_48	temperate	18	3	0.166666667
38	RFM_48	temperate	15	0	0
32	RFM_6	temperate	20	10	0.5
32	RFM_6	temperate	20	13	0.65
32	RFM_6	temperate	20	11	0.55
32	RFM_6	temperate	20	16	0.8
32	RFM_6	temperate	20	14	0.7
32	RFM_6	temperate	20	18	0.9
32	RFM_6	temperate	20	20	1
32	RFM_6	temperate	20	19	0.95
32	RFM_6	temperate	20	19	0.95
32	RFM_6	temperate	20	20	1
34	RFM_6	temperate	20	12	0.6
34	RFM_6	temperate	20	10	0.5
34	RFM_6	temperate	20	10	0.5
34	RFM_6	temperate	20	15	0.75
34	RFM_6	temperate	20	15	0.75
34	RFM_6	temperate	20	17	0.85
34	RFM_6	temperate	20	12	0.6
34	RFM_6	temperate	19	16	0.842105263
36	RFM_6	temperate	20	4	0.2
36	RFM_6	temperate	20	3	0.15
36	RFM_6	temperate	20	2	0.1
36	RFM_6	temperate	20	5	0.25
36	RFM_6	temperate	20	1	0.05
36	RFM_6	temperate	20	2	0.1
36	RFM_6	temperate	20	1	0.05
36	RFM_6	temperate	20	0	0
36	RFM_6	temperate	20	2	0.1
38	RFM_6	temperate	20	1	0.05
38	RFM_6	temperate	20	0	0
38	RFM_6	temperate	20	0	0
38	RFM_6	temperate	20	0	0
38	RFM_6	temperate	20	0	0
38	RFM_6	temperate	20	1	0.05
38	RFM_6	temperate	20	4	0.2
38	RFM_6	temperate	20	2	0.1
38	RFM_6	temperate	20	1	0.05
38	RFM_6	temperate	15	2	0.133333333
28	CH_F_X_VTECK12_M	tropical.X.temperate	20	17	0.85
28	CH_F_X_VTECK12_M	tropical.X.temperate	20	13	0.65
28	CH_F_X_VTECK12_M	tropical.X.temperate	20	18	0.9
28	CH_F_X_VTECK12_M	tropical.X.temperate	20	18	0.9
28	CH_F_X_VTECK12_M	tropical.X.temperate	20	15	0.75
30	CH_F_X_VTECK12_M	tropical.X.temperate	20	20	1
30	CH_F_X_VTECK12_M	tropical.X.temperate	20	18	0.9
30	CH_F_X_VTECK12_M	tropical.X.temperate	20	18	0.9
30	CH_F_X_VTECK12_M	tropical.X.temperate	20	20	1
30	CH_F_X_VTECK12_M	tropical.X.temperate	20	20	1
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	16	0.8
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	17	0.85
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	14	0.7
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	14	0.7
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	14	0.7
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	18	0.9
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	19	0.95
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	12	0.6
32	CH_F_X_VTECK12_M	tropical.X.temperate	20	20	1
33	CH_F_X_VTECK12_M	tropical.X.temperate	20	12	0.6
33	CH_F_X_VTECK12_M	tropical.X.temperate	16	10	0.625
33	CH_F_X_VTECK12_M	tropical.X.temperate	20	17	0.85
33	CH_F_X_VTECK12_M	tropical.X.temperate	20	16	0.8
33	CH_F_X_VTECK12_M	tropical.X.temperate	20	17	0.85
33	CH_F_X_VTECK12_M	tropical.X.temperate	20	17	0.85
33	CH_F_X_VTECK12_M	tropical.X.temperate	20	13	0.65
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	12	0.6
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	14	0.7
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	14	0.7
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	15	0.75
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	16	0.8
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	18	0.9
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	18	0.9
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	17	0.85
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	17	0.85
34	CH_F_X_VTECK12_M	tropical.X.temperate	20	19	0.95
35	CH_F_X_VTECK12_M	tropical.X.temperate	20	20	1
35	CH_F_X_VTECK12_M	tropical.X.temperate	20	17	0.85
35	CH_F_X_VTECK12_M	tropical.X.temperate	20	20	1
35	CH_F_X_VTECK12_M	tropical.X.temperate	20	16	0.8
35	CH_F_X_VTECK12_M	tropical.X.temperate	20	8	0.4
36	CH_F_X_VTECK12_M	tropical.X.temperate	20	4	0.2
36	CH_F_X_VTECK12_M	tropical.X.temperate	20	3	0.15
36	CH_F_X_VTECK12_M	tropical.X.temperate	20	4	0.2
36	CH_F_X_VTECK12_M	tropical.X.temperate	20	3	0.15
36	CH_F_X_VTECK12_M	tropical.X.temperate	20	3	0.15
36	CH_F_X_VTECK12_M	tropical.X.temperate	20	3	0.15
37	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
37	CH_F_X_VTECK12_M	tropical.X.temperate	20	9	0.45
37	CH_F_X_VTECK12_M	tropical.X.temperate	20	9	0.45
37	CH_F_X_VTECK12_M	tropical.X.temperate	20	10	0.5
37	CH_F_X_VTECK12_M	tropical.X.temperate	20	9	0.45
38	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
38	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
38	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
38	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
38	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
40	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
40	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
40	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
40	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
40	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
40	CH_F_X_VTECK12_M	tropical.X.temperate	20	0	0
28	VTECK12_F_X_CH_M	temperate.X.tropical	20	18	0.9
28	VTECK12_F_X_CH_M	temperate.X.tropical	20	16	0.8
28	VTECK12_F_X_CH_M	temperate.X.tropical	20	18	0.9
28	VTECK12_F_X_CH_M	temperate.X.tropical	20	15	0.75
28	VTECK12_F_X_CH_M	temperate.X.tropical	20	16	0.8
30	VTECK12_F_X_CH_M	temperate.X.tropical	20	17	0.85
30	VTECK12_F_X_CH_M	temperate.X.tropical	20	19	0.95
30	VTECK12_F_X_CH_M	temperate.X.tropical	20	18	0.9
30	VTECK12_F_X_CH_M	temperate.X.tropical	20	18	0.9
30	VTECK12_F_X_CH_M	temperate.X.tropical	20	19	0.95
32	VTECK12_F_X_CH_M	temperate.X.tropical	14	8	0.571428571
32	VTECK12_F_X_CH_M	temperate.X.tropical	20	12	0.6
32	VTECK12_F_X_CH_M	temperate.X.tropical	20	12	0.6
32	VTECK12_F_X_CH_M	temperate.X.tropical	20	12	0.6
32	VTECK12_F_X_CH_M	temperate.X.tropical	20	11	0.55
33	VTECK12_F_X_CH_M	temperate.X.tropical	18	14.99999999	0.833333333
33	VTECK12_F_X_CH_M	temperate.X.tropical	20	13	0.65
33	VTECK12_F_X_CH_M	temperate.X.tropical	20	13	0.65
33	VTECK12_F_X_CH_M	temperate.X.tropical	20	14	0.7
34	VTECK12_F_X_CH_M	temperate.X.tropical	20	10	0.5
34	VTECK12_F_X_CH_M	temperate.X.tropical	16	15	0.9375
34	VTECK12_F_X_CH_M	temperate.X.tropical	20	20	1
34	VTECK12_F_X_CH_M	temperate.X.tropical	20	16	0.8
34	VTECK12_F_X_CH_M	temperate.X.tropical	20	15	0.75
34	VTECK12_F_X_CH_M	temperate.X.tropical	20	17	0.85
34	VTECK12_F_X_CH_M	temperate.X.tropical	20	11	0.55
35	VTECK12_F_X_CH_M	temperate.X.tropical	20	12	0.6
35	VTECK12_F_X_CH_M	temperate.X.tropical	20	14	0.7
35	VTECK12_F_X_CH_M	temperate.X.tropical	20	10	0.5
35	VTECK12_F_X_CH_M	temperate.X.tropical	20	14	0.7
35	VTECK12_F_X_CH_M	temperate.X.tropical	20	16	0.8
36	VTECK12_F_X_CH_M	temperate.X.tropical	20	2	0.1
36	VTECK12_F_X_CH_M	temperate.X.tropical	20	6	0.3
36	VTECK12_F_X_CH_M	temperate.X.tropical	20	3	0.15
36	VTECK12_F_X_CH_M	temperate.X.tropical	20	4	0.2
36	VTECK12_F_X_CH_M	temperate.X.tropical	20	5	0.25
37	VTECK12_F_X_CH_M	temperate.X.tropical	20	7	0.35
37	VTECK12_F_X_CH_M	temperate.X.tropical	20	4	0.2
37	VTECK12_F_X_CH_M	temperate.X.tropical	20	7	0.35
37	VTECK12_F_X_CH_M	temperate.X.tropical	20	5	0.25
37	VTECK12_F_X_CH_M	temperate.X.tropical	20	2	0.1
38	VTECK12_F_X_CH_M	temperate.X.tropical	20	1	0.05
38	VTECK12_F_X_CH_M	temperate.X.tropical	20	2	0.1
38	VTECK12_F_X_CH_M	temperate.X.tropical	20	1	0.05
38	VTECK12_F_X_CH_M	temperate.X.tropical	20	2	0.1
38	VTECK12_F_X_CH_M	temperate.X.tropical	20	0	0
40	VTECK12_F_X_CH_M	temperate.X.tropical	20	0	0
40	VTECK12_F_X_CH_M	temperate.X.tropical	20	0	0
40	VTECK12_F_X_CH_M	temperate.X.tropical	20	0	0
40	VTECK12_F_X_CH_M	temperate.X.tropical	20	0	0
40	VTECK12_F_X_CH_M	temperate.X.tropical	20	0	0
40	VTECK12_F_X_CH_M	temperate.X.tropical	20	0	0
